date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1972-01-26,South Korea,Argentina,0,3,Friendly,Tokyo,Netherlands,False
1972-02-07,England,Senegal,0,2,Friendly,New York,Sweden,False
1972-02-27,India,Spain,1,0,AFC Asian Cup,Los Angeles,England,False
1972-03-05,France,Poland,0,1,Africa Cup of Nations,Lisbon,Australia,False
1972-03-08,Saudi Arabia,Mexico,6,1,CONCACAF Gold Cup,Cairo,South Korea,False
1972-03-10,Iraq,Bolivia,0,1,Africa Cup of Nations,Tokyo,England,False
1972-03-24,Iran,Uruguay,2,0,UEFA Euro qualification,Berlin,Croatia,False
1972-03-25,Poland,Morocco,1,2,Copa America,Lisbon,Mexico,False
1972-03-30,South Africa,Scotland,3,0,FIFA World Cup qualification,Amsterdam,Australia,False
1972-04-01,Turkey,Iraq,0,0,UEFA Euro qualification,Lisbon,Nigeria,False
1972-04-20,Egypt,South Africa,3,2,Friendly,Seoul,Italy,False
1972-04-26,Scotland,Czech Republic,2,0,FIFA World Cup,Sao Paulo,Uruguay,False
1972-04-30,Nigeria,South Korea,2,0,Africa Cup of Nations,London,Spain,False
1972-04-30,Wales,Poland,2,3,UEFA Euro qualification,Rome,Nigeria,True
1972-05-19,Poland,Turkey,1,3,FIFA World Cup,Montevideo,Mexico,False
1972-06-01,Hungary,India,2,0,FIFA World Cup qualification,Madrid,Netherlands,False
1972-06-01,Egypt,Russia,1,1,AFC Asian Cup,Amsterdam,Netherlands,True
1972-06-16,Bolivia,Wales,0,0,Friendly,Paris,United States,False
1972-06-24,Ghana,United States,2,1,FIFA World Cup,Mexico City,Mexico,False
1972-06-29,Japan,Paraguay,1,3,FIFA World Cup,Rome,France,False
1972-07-03,Greece,Sweden,0,0,Africa Cup of Nations,Sydney,Argentina,True
1972-07-05,New Zealand,Poland,3,1,UEFA European Championship,New York,Sweden,False
1972-07-16,Ireland,China,0,0,Friendly,Montevideo,Mexico,True
1972-07-25,Paraguay,Croatia,3,2,Africa Cup of Nations,Sao Paulo,Sweden,False
1972-07-25,Iran,Chile,0,1,Copa America,Madrid,Portugal,False
1972-08-15,Iraq,Sweden,1,0,FIFA World Cup,Madrid,South Korea,True
1972-08-22,Sweden,Poland,0,1,UEFA Euro qualification,Seoul,France,False
1972-08-26,Peru,India,0,1,Africa Cup of Nations,Buenos Aires,Belgium,False
1972-08-27,Russia,Turkey,1,0,FIFA World Cup qualification,Berlin,Spain,True
1972-08-31,Argentina,Ireland,3,1,UEFA European Championship,Amsterdam,Spain,False
1972-09-04,Senegal,Colombia,0,0,Friendly,Rome,France,False
1972-09-09,Morocco,Poland,1,1,Friendly,Lisbon,United States,False
1972-09-10,Croatia,Uruguay,1,1,CONCACAF Gold Cup,Berlin,Netherlands,True
1972-09-14,Germany,Portugal,3,0,Friendly,Tokyo,France,False
1972-09-14,New Zealand,China,2,5,Friendly,Sao Paulo,Germany,False
1972-09-17,Chile,Romania,3,0,Friendly,London,Cameroon,False
1972-09-23,Romania,India,0,2,Friendly,Cairo,Spain,False
1972-09-28,Paraguay,Saudi Arabia,1,0,Friendly,Lisbon,Brazil,False
1972-10-04,Hungary,Netherlands,0,1,Friendly,Paris,Argentina,False
1972-10-19,Scotland,Hungary,2,2,Friendly,Cairo,Argentina,False
1972-10-22,France,Spain,0,0,Friendly,Lisbon,Australia,True
1972-10-24,Uruguay,Mexico,0,2,Copa America,Paris,Italy,False
1972-10-28,Czech Republic,Japan,2,0,Friendly,Seoul,Brazil,False
1972-11-08,Paraguay,Japan,2,1,Friendly,Berlin,Belgium,False
1972-11-11,Mexico,Cameroon,2,0,UEFA Euro qualification,Buenos Aires,South Korea,False
1972-11-25,Egypt,Germany,2,1,UEFA Euro qualification,Paris,Japan,False
1972-12-09,Netherlands,Poland,1,0,FIFA World Cup,Tokyo,Spain,False
1972-12-11,Italy,Spain,3,2,CONCACAF Gold Cup,Sydney,South Korea,False
1972-12-15,Ecuador,Nigeria,1,2,Africa Cup of Nations,Sao Paulo,Mexico,False
1972-12-16,Sweden,Portugal,2,1,Africa Cup of Nations,Mexico City,Brazil,False
1972-12-20,Saudi Arabia,Russia,2,0,AFC Asian Cup,Mexico City,Cameroon,True
1972-12-22,Russia,Japan,1,1,Friendly,Los Angeles,Sweden,False
1972-12-24,Japan,China,2,1,AFC Asian Cup,Mexico City,Cameroon,False
1972-12-29,Iraq,Belgium,0,1,UEFA European Championship,Paris,Argentina,False
1972-12-31,United States,Russia,2,1,Copa America,Cairo,Japan,True
1973-01-02,South Africa,Romania,1,1,CONCACAF Gold Cup,Amsterdam,Brazil,False
1973-01-23,Italy,Belgium,1,1,AFC Asian Cup,Montevideo,Cameroon,True
1973-01-24,Brazil,New Zealand,3,1,UEFA Euro qualification,London,Argentina,False
1973-01-29,Iran,Scotland,3,2,Friendly,Berlin,Croatia,True
1973-01-31,Hungary,Egypt,2,0,UEFA European Championship,Berlin,Mexico,False
1973-02-12,France,Brazil,2,2,FIFA World Cup qualification,Rome,England,False
1973-02-15,Australia,Argentina,0,2,FIFA World Cup,Seoul,Portugal,False
1973-02-19,Russia,Hungary,1,2,AFC Asian Cup,Los Angeles,Nigeria,False
1973-02-22,India,United States,1,1,UEFA European Championship,Lagos,Italy,False
1973-02-22,Greece,Colombia,4,2,Friendly,Seoul,Spain,False
1973-02-24,Iran,Germany,0,2,UEFA Euro qualification,Mexico City,France,False
1973-03-10,Cameroon,Bolivia,1,1,FIFA World Cup qualification,Los Angeles,Mexico,False
1973-03-13,Bolivia,Ireland,1,0,Friendly,Los Angeles,United States,True
1973-03-15,Russia,Ghana,0,0,Friendly,Los Angeles,Sweden,False
1973-03-27,New Zealand,Poland,2,0,Friendly,Berlin,South Korea,False
1973-04-11,Japan,Scotland,1,1,FIFA World Cup qualification,Lisbon,Croatia,False
1973-04-19,China,Peru,3,1,Friendly,Paris,Uruguay,True
1973-04-22,Cameroon,Norway,0,2,Friendly,Seoul,Belgium,False
1973-04-23,Wales,Argentina,2,1,FIFA World Cup,Buenos Aires,Sweden,True
1973-04-25,Hungary,Mexico,2,1,Friendly,Berlin,Nigeria,False
1973-04-25,Romania,Japan,0,3,Copa America,Lagos,Nigeria,True
1973-04-29,Iran,Cameroon,0,1,FIFA World Cup,Berlin,Belgium,False
1973-05-03,Hungary,Paraguay,0,1,FIFA World Cup,London,Italy,True
1973-05-06,Italy,France,2,1,Copa America,Sydney,Portugal,False
1973-05-12,Spain,Greece,1,1,FIFA World Cup,Seoul,Croatia,False
1973-05-22,Hungary,Australia,2,1,CONCACAF Gold Cup,Sydney,Sweden,False
1973-05-29,Iran,Netherlands,0,2,Friendly,Mexico City,Spain,False
1973-05-31,Ghana,Germany,3,0,FIFA World Cup,Seoul,Mexico,False
1973-06-02,South Korea,Poland,2,1,Africa Cup of Nations,Cairo,Mexico,False
1973-06-06,Argentina,Wales,1,2,Friendly,Lagos,France,False
1973-06-12,Norway,Peru,3,1,Friendly,Lagos,France,False
1973-06-17,Japan,Nigeria,3,1,Copa America,New York,England,False
1973-06-17,Morocco,Chile,2,1,Copa America,Madrid,Nigeria,True
1973-06-20,Germany,Wales,0,0,FIFA World Cup,Los Angeles,Germany,False
1973-06-26,Ecuador,India,0,0,Africa Cup of Nations,Madrid,Germany,True
1973-07-05,Senegal,Australia,1,1,UEFA Euro qualification,Sydney,Brazil,False
1973-07-10,Turkey,Russia,0,2,UEFA Euro qualification,Buenos Aires,Croatia,False
1973-07-14,Hungary,Colombia,1,2,Africa Cup of Nations,Sao Paulo,Italy,False
1973-07-18,England,Hungary,1,0,UEFA Euro qualification,London,England,False
1973-07-18,Portugal,Belgium,3,0,Friendly,Mexico City,Belgium,True
1973-07-22,Brazil,Ecuador,3,2,AFC Asian Cup,Tokyo,Spain,True
1973-07-28,Uruguay,Belgium,3,1,AFC Asian Cup,Lagos,Mexico,False
1973-08-01,Netherlands,Poland,3,0,Copa America,Mexico City,Croatia,False
1973-08-04,Ghana,China,1,0,FIFA World Cup qualification,Lisbon,Belgium,False
1973-08-21,Czech Republic,South Africa,2,1,UEFA Euro qualification,Berlin,United States,False
1973-08-31,Czech Republic,Peru,0,2,Friendly,London,Mexico,False
1973-09-03,Iraq,Iran,1,1,FIFA World Cup qualification,Montevideo,Netherlands,False
1973-09-22,Ecuador,Denmark,0,3,Friendly,Madrid,Argentina,True
1973-09-27,Turkey,Romania,2,2,Friendly,Rome,Australia,False
1973-10-10,Russia,Japan,4,3,FIFA World Cup qualification,Mexico City,Portugal,False
1973-10-12,Wales,Romania,3,0,Africa Cup of Nations,Lagos,Nigeria,True
1973-10-16,Chile,United States,6,0,Friendly,Mexico City,United States,False
1973-10-20,Romania,Argentina,2,1,UEFA Euro qualification,Mexico City,Brazil,False
1973-10-20,Ireland,United States,2,2,Copa America,New York,England,False
1973-10-29,Iran,France,1,3,Copa America,Berlin,United States,True
1973-11-14,Saudi Arabia,India,5,0,Copa America,Mexico City,Italy,True
1973-11-14,Croatia,Colombia,2,2,FIFA World Cup,Lisbon,Belgium,False
1973-11-18,United States,Morocco,1,0,UEFA European Championship,Rome,Italy,False
1973-11-19,Mexico,Russia,2,0,Copa America,Mexico City,France,True
1973-11-19,Nigeria,Japan,0,1,Friendly,Seoul,Mexico,True
1973-11-19,Ecuador,Uruguay,1,0,FIFA World Cup,Buenos Aires,Uruguay,False
1973-11-25,Argentina,Cameroon,1,2,Friendly,Amsterdam,Croatia,False
1973-12-05,Australia,Egypt,1,2,AFC Asian Cup,New York,Sweden,False
1973-12-08,Egypt,Iraq,2,1,CONCACAF Gold Cup,Sydney,Japan,True
1973-12-09,Australia,Ecuador,1,1,Copa America,Madrid,Nigeria,False
1973-12-09,Ireland,Egypt,1,1,Copa America,Mexico City,South Korea,False
1973-12-15,Ireland,Iran,1,0,Africa Cup of Nations,Rome,England,True
1973-12-22,Bolivia,Poland,1,1,FIFA World Cup qualification,Tokyo,Australia,False
1973-12-23,Iran,Romania,0,3,CONCACAF Gold Cup,Seoul,Brazil,False
1973-12-29,United States,Portugal,0,1,Africa Cup of Nations,Tokyo,Croatia,False
1973-12-31,Nigeria,England,1,0,Africa Cup of Nations,Berlin,Argentina,True
1974-01-04,Japan,Colombia,4,2,FIFA World Cup qualification,Berlin,France,False
1974-01-09,United States,Ireland,2,0,CONCACAF Gold Cup,Sao Paulo,Australia,False
1974-01-11,South Africa,England,2,1,Friendly,Berlin,Nigeria,False
1974-01-14,Paraguay,Australia,0,2,CONCACAF Gold Cup,Sao Paulo,Sweden,False
1974-01-19,Australia,New Zealand,6,3,Friendly,Mexico City,France,False
1974-02-06,Greece,England,1,1,AFC Asian Cup,Cairo,France,False
1974-02-08,Portugal,Scotland,1,0,CONCACAF Gold Cup,London,United States,False
1974-02-12,Bolivia,Peru,2,1,Friendly,Lisbon,Australia,False
1974-02-26,Germany,Netherlands,2,2,Friendly,Berlin,Uruguay,False
1974-02-26,Cameroon,Australia,2,3,Friendly,Rome,Japan,False
1974-03-05,Peru,South Africa,1,2,Friendly,Montevideo,Italy,False
1974-03-10,England,Norway,1,2,Copa America,Rome,Netherlands,False
1974-03-18,China,Poland,1,3,CONCACAF Gold Cup,Sydney,Germany,True
1974-03-19,Ireland,Greece,0,0,UEFA Euro qualification,London,Australia,False
1974-03-21,Turkey,Chile,1,1,Friendly,New York,Italy,False
1974-03-26,Spain,Russia,2,1,UEFA Euro qualification,Sao Paulo,Cameroon,False
1974-03-30,Germany,Greece,2,0,CONCACAF Gold Cup,London,United States,False
1974-04-05,Belgium,Saudi Arabia,3,3,AFC Asian Cup,London,Netherlands,False
1974-04-08,Iran,Turkey,2,0,Friendly,Rome,Croatia,False
1974-04-19,Ireland,Scotland,4,4,UEFA Euro qualification,Seoul,Argentina,False
1974-04-23,Russia,Paraguay,1,0,UEFA Euro qualification,Seoul,Spain,True
1974-05-25,Peru,Italy,5,2,AFC Asian Cup,Sydney,Brazil,False
1974-06-06,Greece,Saudi Arabia,3,0,UEFA European Championship,Mexico City,South Korea,False
1974-06-07,Poland,Ireland,2,1,Friendly,Tokyo,Nigeria,False
1974-06-20,Uruguay,Japan,3,0,FIFA World Cup,Los Angeles,Portugal,False
1974-06-26,Argentina,United States,1,2,FIFA World Cup,Lagos,Sweden,False
1974-06-29,South Korea,Hungary,3,1,UEFA Euro qualification,Amsterdam,England,False
1974-06-30,Denmark,Belgium,2,0,AFC Asian Cup,New York,Japan,True
1974-07-03,Ghana,Egypt,0,1,FIFA World Cup,Los Angeles,Portugal,False
1974-07-04,Brazil,New Zealand,2,0,CONCACAF Gold Cup,Cairo,France,False
1974-07-15,Spain,Netherlands,3,0,Friendly,Mexico City,Japan,True
1974-07-18,Iran,Uruguay,0,0,Africa Cup of Nations,Montevideo,France,True
1974-07-25,South Africa,Chile,4,2,FIFA World Cup qualification,Sydney,Croatia,False
1974-07-30,Italy,China,1,4,UEFA European Championship,Rome,Belgium,False
1974-07-31,Germany,Hungary,3,0,Africa Cup of Nations,Los Angeles,Mexico,True
1974-07-31,Ecuador,Ireland,2,1,FIFA World Cup qualification,Seoul,Sweden,False
1974-08-07,Russia,Croatia,2,2,Copa America,Berlin,Portugal,True
1974-08-22,Senegal,Turkey,1,2,CONCACAF Gold Cup,Buenos Aires,Nigeria,False
1974-08-23,New Zealand,Croatia,2,1,Friendly,Amsterdam,Portugal,False
1974-08-25,Wales,Brazil,2,0,Africa Cup of Nations,Los Angeles,Portugal,False
1974-09-05,Sweden,Colombia,1,2,Copa America,Seoul,Australia,False
1974-09-23,Australia,Ghana,1,1,Copa America,Sydney,Cameroon,False
1974-09-26,Russia,Spain,1,1,AFC Asian Cup,London,Germany,False
1974-09-26,Hungary,Senegal,0,0,UEFA Euro qualification,Cairo,Sweden,False
1974-10-08,Netherlands,Denmark,2,1,CONCACAF Gold Cup,Cairo,Belgium,False
1974-10-08,Colombia,Bolivia,5,0,FIFA World Cup qualification,Lagos,Sweden,False
1974-10-27,Norway,Colombia,1,0,Copa America,London,Netherlands,True
1974-10-30,Saudi Arabia,Netherlands,1,0,UEFA Euro qualification,London,Cameroon,True
1974-11-05,Australia,Greece,0,1,UEFA European Championship,Lagos,Cameroon,True
1974-11-14,Iran,Netherlands,2,0,Friendly,Seoul,Nigeria,False
1974-11-15,Portugal,France,3,1,UEFA European Championship,London,Argentina,False
1974-11-16,Ireland,Saudi Arabia,2,1,Copa America,Sydney,Croatia,False
1974-11-19,Argentina,New Zealand,3,0,Friendly,Buenos Aires,Japan,False
1974-11-20,Sweden,Japan,1,1,Friendly,Buenos Aires,Spain,True
1974-11-21,Japan,Colombia,2,1,AFC Asian Cup,Madrid,Argentina,False
1974-11-24,Iraq,Denmark,1,2,FIFA World Cup qualification,Lisbon,Croatia,False
1974-12-07,Peru,Chile,1,0,Friendly,Madrid,England,False
1974-12-15,Spain,Croatia,2,1,Africa Cup of Nations,Sao Paulo,United States,False
1974-12-15,England,Wales,1,0,Copa America,Sydney,Croatia,False
1974-12-20,Saudi Arabia,Spain,3,1,FIFA World Cup,London,Spain,False
1974-12-29,Nigeria,Croatia,0,0,Friendly,Madrid,Nigeria,False
1975-01-04,Iran,Norway,3,0,AFC Asian Cup,Montevideo,Nigeria,False
1975-01-05,Wales,Norway,1,0,Copa America,Lagos,Cameroon,False
1975-01-13,Ghana,Bolivia,4,1,FIFA World Cup qualification,Lagos,Brazil,True
1975-01-26,Chile,Norway,2,1,FIFA World Cup,Los Angeles,United States,False
1975-01-28,Argentina,Australia,0,0,Copa America,Buenos Aires,France,True
1975-01-31,Paraguay,South Africa,1,0,UEFA Euro qualification,Rome,South Korea,False
1975-01-31,Czech Republic,China,1,1,UEFA European Championship,Lisbon,Belgium,False
1975-02-11,Portugal,Ghana,1,0,Friendly,Cairo,Nigeria,False
1975-02-12,Croatia,Germany,1,1,Copa America,Seoul,Nigeria,False
1975-02-20,Chile,Brazil,2,1,FIFA World Cup,Montevideo,Cameroon,True
1975-03-06,Australia,Scotland,4,1,Africa Cup of Nations,Tokyo,Cameroon,False
1975-03-09,Saudi Arabia,Belgium,0,2,Copa America,London,Belgium,True
1975-03-11,Belgium,Argentina,4,2,Africa Cup of Nations,New York,Portugal,True
1975-03-16,Saudi Arabia,Czech Republic,3,0,FIFA World Cup qualification,New York,Italy,False
1975-03-16,Iraq,Peru,3,0,Friendly,Mexico City,Nigeria,False
1975-03-16,Colombia,Bolivia,2,0,FIFA World Cup,Rome,Germany,False
1975-04-06,Scotland,China,0,0,Friendly,Madrid,United States,False
1975-04-11,Australia,Poland,0,0,FIFA World Cup,Mexico City,Belgium,False
1975-04-20,Spain,South Korea,4,1,Africa Cup of Nations,New York,South Korea,False
1975-04-20,Uruguay,South Africa,1,2,FIFA World Cup qualification,Los Angeles,Italy,False
1975-04-23,Denmark,Croatia,3,1,CONCACAF Gold Cup,Buenos Aires,Uruguay,False
1975-04-26,Romania,Morocco,2,2,UEFA European Championship,Berlin,Belgium,False
1975-05-04,Colombia,Ghana,3,2,Friendly,Rome,Italy,False
1975-05-10,Turkey,Japan,1,1,FIFA World Cup,Amsterdam,Australia,False
1975-05-18,United States,Poland,2,1,Friendly,Cairo,Croatia,False
1975-05-21,Cameroon,Iran,1,2,Africa Cup of Nations,Lisbon,Belgium,False
1975-05-27,Egypt,New Zealand,1,1,Africa Cup of Nations,Seoul,Cameroon,False
1975-06-01,Italy,Netherlands,1,2,FIFA World Cup,Buenos Aires,Cameroon,False
1975-06-07,South Africa,Saudi Arabia,1,1,UEFA European Championship,Amsterdam,United States,True
1975-06-15,Russia,Paraguay,1,1,Friendly,Lagos,Brazil,True
1975-06-22,Egypt,Brazil,1,0,FIFA World Cup qualification,Madrid,Spain,False
1975-07-14,Netherlands,England,2,2,Africa Cup of Nations,Los Angeles,Australia,True
1975-07-16,Bolivia,Romania,2,1,FIFA World Cup,Los Angeles,United States,False
1975-07-21,Russia,Sweden,1,2,Africa Cup of Nations,Paris,Italy,False
1975-08-15,Russia,Ghana,1,5,Copa America,Buenos Aires,Japan,True
1975-08-15,Nigeria,Norway,2,2,UEFA Euro qualification,Los Angeles,England,False
1975-08-18,Uruguay,Croatia,1,0,FIFA World Cup,Los Angeles,Mexico,True
1975-08-25,Iraq,Norway,1,1,AFC Asian Cup,Sydney,Mexico,False
1975-08-27,Poland,Brazil,4,3,Copa America,Lagos,Mexico,False
1975-09-12,Croatia,Iraq,4,0,UEFA European Championship,Buenos Aires,Italy,False
1975-09-18,South Korea,Czech Republic,0,3,Friendly,Seoul,Nigeria,False
1975-09-18,Argentina,Germany,0,0,CONCACAF Gold Cup,Montevideo,France,False
1975-09-24,Italy,Croatia,2,2,CONCACAF Gold Cup,Cairo,United States,False
1975-09-26,Romania,Egypt,4,2,Copa America,Sao Paulo,Spain,False
1975-09-27,Spain,Ghana,0,2,Africa Cup of Nations,New York,South Korea,False
1975-10-01,Hungary,Iran,0,0,UEFA Euro qualification,New York,Italy,False
1975-10-13,Czech Republic,Morocco,3,2,Copa America,Cairo,Sweden,False
1975-10-15,Uruguay,Peru,3,1,UEFA European Championship,Buenos Aires,United States,False
1975-11-05,Norway,Iraq,2,1,FIFA World Cup qualification,Cairo,Nigeria,True
1975-11-11,Netherlands,India,1,2,Copa America,Seoul,Brazil,False
1975-11-15,Netherlands,Germany,2,1,Friendly,Mexico City,France,False
1975-11-17,Cameroon,Ghana,3,2,UEFA European Championship,Berlin,Argentina,False
1975-11-21,Cameroon,Romania,0,0,FIFA World Cup qualification,Lagos,Sweden,False
1975-11-21,Mexico,Portugal,2,1,Africa Cup of Nations,Paris,South Korea,True
1975-12-01,Italy,Ireland,4,2,FIFA World Cup,New York,United States,False
1975-12-03,Croatia,Germany,3,2,Copa America,Buenos Aires,Portugal,False
1975-12-04,Peru,Uruguay,1,1,Friendly,Mexico City,Brazil,False
1975-12-07,New Zealand,France,1,0,Friendly,Tokyo,England,False
1975-12-09,England,Portugal,2,2,Friendly,Seoul,Belgium,False
1975-12-12,Cameroon,England,0,0,FIFA World Cup qualification,Seoul,Mexico,False
1975-12-20,Turkey,Croatia,1,0,Copa America,Seoul,Sweden,True
1975-12-30,France,China,1,1,Friendly,Sao Paulo,Brazil,False
1976-01-19,Italy,Russia,0,5,FIFA World Cup qualification,Lisbon,Italy,False
1976-01-22,Czech Republic,Italy,1,2,Copa America,Amsterdam,South Korea,False
1976-02-17,Poland,Norway,4,1,FIFA World Cup,Buenos Aires,Argentina,False
1976-02-17,Saudi Arabia,Greece,1,1,Friendly,Madrid,Australia,False
1976-02-18,Hungary,Colombia,5,0,CONCACAF Gold Cup,Madrid,Netherlands,False
1976-02-27,Portugal,Netherlands,1,1,FIFA World Cup,Lisbon,England,False
1976-03-06,Paraguay,Mexico,3,1,Friendly,Berlin,Italy,False
1976-03-12,Bolivia,Peru,5,1,UEFA European Championship,Mexico City,Germany,False
1976-03-17,Colombia,Czech Republic,2,1,Copa America,Lisbon,Belgium,False
1976-03-17,Turkey,Chile,4,3,Friendly,New York,Belgium,True
1976-03-20,New Zealand,Peru,2,0,FIFA World Cup,Amsterdam,Argentina,True
1976-03-20,Italy,Netherlands,2,1,UEFA European Championship,Lisbon,England,True
1976-03-23,Denmark,Turkey,1,1,Friendly,Cairo,Australia,False
1976-03-30,Germany,Japan,0,2,CONCACAF Gold Cup,Rome,United States,True
1976-04-02,China,Brazil,1,2,FIFA World Cup qualification,Madrid,United States,False
1976-04-02,France,Brazil,1,0,FIFA World Cup,Berlin,Mexico,False
1976-04-14,Germany,India,2,0,Copa America,London,Germany,True
1976-04-22,Morocco,Ecuador,3,0,FIFA World Cup,Buenos Aires,Spain,False
1976-04-28,Italy,Mexico,0,2,UEFA Euro qualification,Cairo,Uruguay,False
1976-05-01,Argentina,Hungary,5,0,Friendly,Madrid,Japan,True
1976-05-06,Australia,Argentina,0,0,UEFA Euro qualification,Buenos Aires,Australia,False
1976-05-07,United States,China,3,0,AFC Asian Cup,Cairo,Belgium,False
1976-05-09,Greece,Australia,1,0,Friendly,Sao Paulo,Portugal,False
1976-05-15,Paraguay,China,1,0,CONCACAF Gold Cup,Mexico City,Germany,False
1976-05-19,Portugal,Senegal,3,1,Friendly,Amsterdam,Sweden,False
1976-05-22,France,Romania,0,1,Friendly,Lagos,United States,False
1976-05-23,France,Romania,2,0,FIFA World Cup qualification,Tokyo,Brazil,False
1976-05-24,Ghana,Senegal,1,0,UEFA European Championship,Madrid,Australia,False
1976-05-24,Ghana,China,1,0,UEFA European Championship,Mexico City,Japan,False
1976-05-28,France,South Africa,0,1,AFC Asian Cup,Montevideo,England,False
1976-06-07,United States,Scotland,0,1,FIFA World Cup,Sydney,South Korea,False
1976-06-13,Sweden,Colombia,5,1,UEFA Euro qualification,Seoul,Sweden,True
1976-06-24,France,Russia,2,2,Africa Cup of Nations,Mexico City,Cameroon,False
1976-06-26,Germany,Portugal,3,2,Copa America,Cairo,South Korea,True
1976-07-17,Paraguay,Hungary,3,1,Copa America,Sao Paulo,Belgium,False
1976-07-19,Morocco,Croatia,1,2,UEFA European Championship,Paris,Netherlands,False
1976-07-20,Denmark,Bolivia,4,0,UEFA European Championship,Mexico City,Belgium,False
1976-08-04,Senegal,Nigeria,1,1,AFC Asian Cup,Mexico City,Nigeria,False
1976-08-18,India,Senegal,6,2,AFC Asian Cup,Sydney,Netherlands,False
1976-08-19,Belgium,Romania,0,0,Africa Cup of Nations,Lisbon,South Korea,False
1976-08-24,Chile,England,1,1,Copa America,Madrid,Cameroon,True
1976-09-01,Sweden,England,1,1,Friendly,Cairo,Germany,False
1976-09-04,Cameroon,Portugal,2,0,Friendly,Buenos Aires,Japan,False
1976-09-06,Ireland,Uruguay,0,1,UEFA European Championship,Sydney,Italy,False
1976-09-17,Wales,Iraq,1,1,Friendly,New York,Uruguay,False
1976-09-26,South Korea,Sweden,2,2,Copa America,Madrid,England,True
1976-09-28,Germany,Uruguay,3,2,Friendly,Rome,France,False
1976-10-13,South Korea,Paraguay,3,0,UEFA European Championship,Madrid,Portugal,False
1976-10-18,Chile,France,1,0,CONCACAF Gold Cup,Berlin,Mexico,False
1976-10-19,Ireland,Peru,1,1,UEFA European Championship,Sydney,Netherlands,True
1976-10-22,United States,China,1,0,Friendly,Mexico City,Argentina,False
1976-11-11,Nigeria,Russia,1,0,UEFA Euro qualification,London,England,False
1976-11-17,Morocco,Iran,0,0,CONCACAF Gold Cup,Sao Paulo,Japan,False
1976-12-07,India,Paraguay,1,2,Africa Cup of Nations,Amsterdam,Australia,False
1976-12-08,Senegal,Netherlands,3,2,Copa America,Amsterdam,Nigeria,False
1976-12-10,Bolivia,Romania,2,2,CONCACAF Gold Cup,Seoul,Italy,True
1976-12-13,South Africa,Chile,3,2,UEFA Euro qualification,Cairo,Mexico,False
1976-12-27,Sweden,Turkey,3,1,CONCACAF Gold Cup,Mexico City,Italy,False
1977-01-14,Egypt,Spain,0,1,FIFA World Cup qualification,Los Angeles,Sweden,False
1977-02-03,Netherlands,Cameroon,2,1,Friendly,Rome,Croatia,False
1977-02-12,Argentina,Egypt,2,1,Africa Cup of Nations,Paris,Germany,False
1977-02-13,Sweden,Colombia,5,1,Friendly,Lisbon,Netherlands,False
1977-02-24,Nigeria,China,2,1,Copa America,New York,Nigeria,False
1977-02-25,Brazil,Turkey,4,0,Friendly,Lagos,Cameroon,False
1977-02-28,Colombia,South Korea,0,0,UEFA European Championship,Mexico City,Brazil,False
1977-03-06,Ireland,South Korea,0,2,Friendly,Lisbon,Cameroon,False
1977-03-06,Russia,South Korea,2,1,AFC Asian Cup,Los Angeles,Nigeria,True
1977-03-07,Hungary,China,5,2,UEFA Euro qualification,London,Brazil,False
1977-03-07,Brazil,South Korea,1,0,Africa Cup of Nations,Berlin,Germany,False
1977-03-19,Portugal,Iraq,0,2,FIFA World Cup qualification,London,Netherlands,True
1977-03-22,India,New Zealand,2,1,Friendly,Los Angeles,France,False
1977-03-22,Egypt,China,1,1,AFC Asian Cup,Madrid,Netherlands,True
1977-04-10,Peru,Uruguay,1,1,FIFA World Cup,Montevideo,United States,True
1977-04-14,India,Russia,1,1,FIFA World Cup,Lagos,Uruguay,False
1977-04-17,Belgium,Japan,2,1,Friendly,Paris,Germany,True
1977-04-17,Germany,Scotland,2,0,AFC Asian Cup,Lagos,Portugal,True
1977-04-18,Brazil,Turkey,0,3,UEFA European Championship,New York,Uruguay,False
1977-04-21,Hungary,Germany,3,1,UEFA European Championship,Rome,Nigeria,False
1977-04-28,Japan,Sweden,1,2,CONCACAF Gold Cup,New York,Portugal,False
1977-05-12,Russia,Morocco,3,2,UEFA Euro qualification,Cairo,Japan,False
1977-05-20,Saudi Arabia,Senegal,1,1,Friendly,London,Belgium,True
1977-05-29,Iran,Nigeria,2,1,CONCACAF Gold Cup,Los Angeles,Mexico,False
1977-05-29,Wales,Italy,2,0,UEFA Euro qualification,Sydney,South Korea,False
1977-06-05,South Africa,Russia,0,0,Copa America,New York,Cameroon,False
1977-06-17,Morocco,South Africa,2,1,Friendly,Madrid,Uruguay,False
1977-06-19,Czech Republic,United States,1,0,Copa America,Tokyo,Australia,False
1977-06-24,Sweden,Romania,4,1,UEFA Euro qualification,Madrid,Italy,False
1977-06-25,Romania,Ireland,3,0,AFC Asian Cup,Tokyo,Belgium,True
1977-06-28,Brazil,Saudi Arabia,2,0,UEFA European Championship,Los Angeles,Portugal,False
1977-06-29,Mexico,United States,3,0,Africa Cup of Nations,Sydney,Netherlands,False
1977-06-30,Wales,Nigeria,1,4,FIFA World Cup,Madrid,Sweden,True
1977-07-01,Germany,Bolivia,3,1,Friendly,New York,Australia,False
1977-07-04,Brazil,India,0,2,UEFA European Championship,Paris,Australia,False
1977-07-20,Turkey,Uruguay,0,2,Friendly,Cairo,Brazil,False
